Time_s,Thrust_N
0,27.23564561
0.0002,27.17498661
0.0004,27.35696361
0.0006,27.41762261
0.0008,27.35696361
0.001,27.66025861
0.0012,27.8422356
0.0014,27.8422356
0.0016,28.0848716
0.0018,28.3881666
0.002,28.5701436
0.0022,28.63080259
0.0024,28.75212059
0.0026,28.93409759
0.0028,29.11607459
0.003,29.11607459
0.0032,29.35871059
0.0034,29.29805159
0.0036,29.54068758
0.0038,29.72266458
0.004,29.48002858
0.0042,29.84398258
0.0044,29.96530058
0.0046,30.02595958
0.0048,30.14727758
0.005,30.26859557
0.0052,30.51123157
0.0054,30.69320857
0.0056,30.81452657
0.0058,31.05716256
0.006,31.11782156
0.0062,30.93584457
0.0064,31.11782156
0.0066,31.17848056
0.0068,31.29979856
0.007,31.17848056
0.0072,31.11782156
0.0074,31.05716256
0.0076,31.05716256
0.0078,31.17848056
0.008,31.05716256
0.0082,31.23913956
0.0084,30.93584457
0.0086,31.29979856
0.0088,31.17848056
0.009,31.36045756
0.0092,31.54243456
0.0094,31.54243456
0.0096,31.48177556
0.0098,31.60309356
0.01,31.60309356
0.0102,31.66375256
0.0104,31.60309356
0.0106,31.72441156
0.0108,31.96704755
0.011,31.78507056
0.0112,31.90638855
0.0114,31.72441156
0.0116,31.60309356
0.0118,31.78507056
0.012,31.54243456
0.0122,31.60309356
0.0124,31.60309356
0.0126,31.48177556
0.0128,31.42111656
0.013,31.48177556
0.0132,31.48177556
0.0134,31.42111656
0.0136,31.23913956
0.0138,31.29979856
0.014,31.23913956
0.0142,31.48177556
0.0144,31.05716256
0.0146,30.81452657
0.0148,31.05716256
0.015,31.05716256
0.0152,30.75386757
0.0154,30.81452657
0.0156,30.93584457
0.0158,30.93584457
0.016,30.69320857
0.0162,30.69320857
0.0164,30.81452657
0.0166,30.57189057
0.0168,31.05716256
0.017,30.57189057
0.0172,30.69320857
0.0174,30.69320857
0.0176,30.38991357
0.0178,30.20793657
0.018,30.26859557
0.0182,30.14727758
0.0184,29.84398258
0.0186,29.60134658
0.0188,29.66200558
0.019,29.66200558
0.0192,29.48002858
0.0194,29.29805159
0.0196,29.35871059
0.0198,29.54068758
0.02,29.29805159
0.0202,29.29805159
0.0204,29.35871059
0.0206,29.35871059
0.0208,29.41936958
0.021,29.23739259
0.0212,29.17673359
0.0214,29.23739259
0.0216,29.05541559
0.0218,28.87343859
0.022,28.87343859
0.0222,28.75212059
0.0224,29.29805159
0.0226,28.5094846
0.0228,28.5701436
0.023,28.87343859
0.0232,28.87343859
0.0234,28.81277959
0.0236,28.81277959
0.0238,28.99475659
0.024,29.17673359
0.0242,28.99475659
0.0244,29.29805159
0.0246,29.35871059
0.0248,29.41936958
0.025,29.41936958
0.0252,29.66200558
0.0254,29.84398258
0.0256,29.48002858
0.0258,29.54068758
0.026,29.72266458
0.0262,29.78332358
0.0264,29.78332358
0.0266,29.54068758
0.0268,29.72266458
0.027,29.84398258
0.0272,29.90464158
0.0274,29.90464158
0.0276,30.14727758
0.0278,30.26859557
0.028,30.81452657
0.0282,30.32925457
0.0284,30.69320857
0.0286,30.93584457
0.0288,30.93584457
0.029,30.81452657
0.0292,31.11782156
0.0294,31.23913956
0.0296,31.17848056
0.0298,30.99650357
0.03,31.17848056
0.0302,31.29979856
0.0304,31.54243456
0.0306,30.99650357
0.0308,31.23913956
0.031,31.42111656
0.0312,31.42111656
0.0314,31.42111656
0.0316,31.48177556
0.0318,31.84572955
0.032,32.45231955
0.0322,32.20968355
0.0324,32.69495554
0.0326,33.05890954
0.0328,33.24088654
0.033,33.54418153
0.0332,33.84747653
0.0334,34.15077153
0.0336,34.51472552
0.0338,34.21143053
0.034,34.45406652
0.0342,34.39340752
0.0344,34.75736152
0.0346,34.69670252
0.0348,34.99999752
0.035,35.60658751
0.0352,35.78856451
0.0354,35.9705415
0.0356,36.4558135
0.0358,36.81976749
0.036,37.30503949
0.0362,37.30503949
0.0364,37.97228848
0.0366,38.15426548
0.0368,38.57887847
0.037,38.88217347
0.0372,39.42810446
0.0374,39.91337646
0.0376,39.97403545
0.0378,40.64128445
0.038,40.88392044
0.0382,41.30853344
0.0384,41.67248743
0.0386,41.79380543
0.0388,42.27907743
0.039,42.70369042
0.0392,43.18896241
0.0394,43.24962141
0.0396,43.55291641
0.0398,44.0381884
0.04,44.3414834
0.0402,44.5841194
0.0404,45.25136839
0.0406,45.79729938
0.0408,46.03993538
0.041,46.76784337
0.0412,47.25311536
0.0414,47.73838736
0.0416,48.16300035
0.0418,48.70893135
0.042,49.25486234
0.0422,49.67947533
0.0424,50.10408833
0.0426,50.46804232
0.0428,51.25660932
0.043,51.68122231
0.0432,51.92385831
0.0434,52.6517663
0.0436,53.44033329
0.0438,54.04692328
0.044,55.01746727
0.0442,55.62405726
0.0444,56.71591925
0.0446,57.26185024
0.0448,58.89964322
0.045,59.38491521
0.0452,60.4767772
0.0454,61.50798019
0.0456,62.59984218
0.0458,63.75236316
0.046,64.90488415
0.0462,65.81476914
0.0464,67.33124412
0.0466,68.18047011
0.0468,69.45430909
0.047,70.78880707
0.0472,71.69869206
0.0474,72.97253105
0.0476,73.94307504
0.0478,75.27757302
0.048,76.36943501
0.0482,77.27931999
0.0484,78.67447698
0.0486,79.76633896
0.0488,81.04017795
0.049,82.19269893
0.0492,83.40587892
0.0494,84.9223539
0.0496,86.01421589
0.0498,87.34871387
0.05,88.62255285
0.0502,90.01770984
0.0504,91.71616182
0.0506,92.38341081
0.0508,93.59659079
